"COLLEGE","INCOME","OVERAGE","LEFTOVER","HOUSE","HANDSET_PRICE","OVER_15MINS_CALLS_PER_MONTH","AVERAGE_CALL_DURATION","REPORTED_SATISFACTION","REPORTED_USAGE_LEVEL","CONSIDERING_CHANGE_OF_PLAN","LEAVE"
"one",102487,213,0,542192,341,10,10,"unsat","very_high","considering","LEAVE"
"zero",98336,0,0,208910,290,0,11,"very_sat","little","considering","STAY"
"one",67535,45,13,628030,325,3,4,"very_unsat","very_little","no","STAY"
"zero",96620,41,88,542053,311,5,1,"very_unsat","very_little","considering","LEAVE"
"one",32665,0,50,422135,175,0,1,"avg","little","no","LEAVE"
"one",95799,55,52,743231,147,3,2,"very_sat","very_little","actively_looking_into_it","STAY"
"zero",132584,0,8,538476,569,1,5,"very_sat","little","considering","STAY"
"one",21070,0,23,220329,133,1,4,"very_unsat","very_high","considering","STAY"
"one",134234,88,0,418436,637,5,15,"very_unsat","very_high","considering","LEAVE"
"one",108514,0,33,582054,895,0,2,"sat","little","considering","STAY"
"zero",80825,156,23,985965,369,12,15,"very_sat","very_little","considering","STAY"
"one",30371,91,30,870545,233,3,1,"unsat","very_little","never_thought","STAY"
"zero",37053,0,0,290615,226,1,14,"unsat","very_high","no","LEAVE"
"zero",37666,0,79,201148,179,0,1,"very_unsat","very_high","considering","LEAVE"
"one",23799,66,19,993320,169,5,4,"unsat","little","actively_looking_into_it","STAY"
"zero",76872,0,9,197557,318,0,6,"very_unsat","avg","never_thought","STAY"
"zero",130320,51,0,245591,439,4,12,"unsat","little","actively_looking_into_it","STAY"
"one",129521,0,0,504524,705,1,5,"very_sat","very_little","no","LEAVE"
"one",32732,204,9,616429,132,11,6,"very_unsat","very_high","actively_looking_into_it","STAY"
"zero",31158,197,44,862197,242,29,2,"very_sat","little","no","STAY"
"zero",97840,197,18,710048,340,20,4,"very_unsat","very_little","no","STAY"
"one",151893,203,89,386758,583,13,2,"very_sat","little","considering","LEAVE"
"one",52175,0,13,905699,273,1,5,"avg","very_little","actively_looking_into_it","STAY"
"one",138616,0,12,801453,761,1,4,"very_unsat","very_high","no","LEAVE"
"zero",151305,218,0,216339,604,27,14,"very_unsat","little","actively_looking_into_it","LEAVE"
"zero",64297,0,66,355996,271,15,14,"avg","very_little","considering","LEAVE"
"one",84744,0,20,688098,357,0,5,"very_unsat","little","considering","STAY"
